6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
20	40.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986188995634262	-4.6095532989579026e-21	8.58647886543525e-20	-1.8431436932253577e-21	1.0039999999999945	1.6517311878048308e-19	-1.6042804020996448e-21	1.616138863361205e-21	0.9980172253200991	6793.024224301906	160153.83913150537	-776408.2539631126	161016.8337469265	132940053.60907917	793613.0527968224	-775940.4291780322	788883.9417905574	2284.3840789314118	1599.565890624997	6779.402410214693	160693.95347688827	-774384.4967537108	160693.95231712598	133388390.22354692	791544.4501913312	-774384.4629515021	791544.4308310567	2278.429687378795	-0.0013820550348136826	0.0	0.0	0.0	0.0039920212695321484	0.0	0.0	0.0	-0.001984742979843552	133397940.69588661	0.003799580087226925
24	66.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.997682283209469	1.496368404619447e-20	-3.2731047147800675e-19	3.6591823321385774e-22	1.0066000000000055	-1.2751233987966237e-19	4.065758146820642e-23	1.6293525773383722e-20	0.9964051186677764	2567.3630359109507	223833.34704940327	-935995.6830539511	225834.04160327459	139383158.20838115	849020.6590969346	-934797.59948447	840421.738812907	2864.8721249140904	1599.565890624997	2559.7314718242947	225162.76797116932	-932018.771743471	225162.74310075	140211001.28496772	845413.2921794109	-932018.8854153134	845413.2838950538	2852.6996944606976	-0.0023204068534313773	0.0	0.0	0.0	0.006578315360128242	0.0	0.0	0.0	-0.0036013584457486657	140225775.98038343	0.006402323411769547
28	92.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9967264173692331	-2.1545130046360383e-20	-2.090816127002515e-20	-1.0970770732837698e-20	1.0091999999999959	2.498679431764406e-19	-4.6180236284304454e-21	1.6188493687924187e-20	0.9948156180977233	9064.41856995926	236253.5348439924	-992961.5803685756	239209.82505328816	144340479.26725155	836563.166037967	-991057.8819777698	824639.0710819649	5977.191548963195	1599.565890624997	9028.593815876386	238264.72573332067	-987141.0998974838	238264.41050842783	145569228.10715893	831659.4520705532	-987140.9837641971	831659.099746676	5942.154819072999	-0.0032789525247842607	0.0	0.0	0.0	0.009157937784761764	0.0	0.0	0.0	-0.005197867439774647	145579495.7346081	0.00899935329364751
32	118.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9957638242816413	7.370880707006922e-21	8.104072426150244e-19	9.432558900623888e-21	1.011799999999992	-8.033938098117588e-20	-2.574980159653073e-21	-4.02205124674232e-20	0.993240864328392	-5905.513405696118	239434.19520204	-1026736.8101610617	243290.29480127068	148857847.71311495	829508.1695935872	-1024135.85201802	814292.5277597716	-115.39598637691489	1599.565890624997	-5876.360156963706	242089.10862554918	-1019079.6116531325	242089.26417255643	150508425.2246302	823321.8629805704	-1019080.0871456779	823321.6313963195	-114.53538610821731	-0.0042451737311502	0.0	0.0	0.0	0.01173092287569036	0.0	0.0	0.0	-0.006782082086192725	150529109.29970556	0.011589295055847344
36	144.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9947997907471976	7.047822340924132e-20	6.216137630674079e-19	2.0791270723304056e-20	1.0143999999999875	-4.911300316087774e-19	-3.492486248118931e-20	-1.2244708285508165e-20	0.9916764316216847	-2277.1017358122194	243548.36200178933	-1055943.4492641727	248344.3695256061	153099710.28427795	834319.9091990953	-1052626.8977207076	815628.9368372303	-11135.116678715165	1599.565890624997	-2263.6183297142243	246876.37736108314	-1046395.1897048721	246873.84761883234	155191771.9312611	826775.6576067621	-1046393.9764118232	826774.2617614804	-11034.428536423493	-0.00521377739951432	0.0	0.0	0.0	0.014297304700812355	0.0	0.0	0.0	-0.008358402705534089	155216198.45190617	0.014172368038020158
40	170.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.993835721535067	2.5492303580565423e-20	-1.2781794936703173e-18	-2.642742795433417e-22	1.0170000000000194	-1.4034183971195491e-18	-2.0017082609513627e-20	7.643625316022806e-20	0.99012100832679	-1872.8349237544426	249102.72037783562	-1083256.8154250772	254905.16815888288	157108359.19829687	847965.9107347281	-1079206.6859634724	825553.269265445	-8370.66882352055	1599.565890624997	-1859.9028971457853	253148.63638042766	-1071755.8793910828	253145.0341633537	159660106.62063426	838963.0578936491	-1071754.7053312762	838961.8710585005	-8281.797444794642	-0.006183356069614137	0.0	0.0	0.0	0.01685711706644202	0.0	0.0	0.0	-0.00992811268993567	159683182.36415946	0.016748699037906784
44	247.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.99096778491343	-9.67311625764411e-20	6.128994881060556e-19	-1.4775642731904014e-20	1.0247500000000072	8.314204359705091e-19	-5.328853677766254e-20	-5.606002858107861e-20	0.9855333132046594	4751.5208865015975	265877.3477542804	-1157534.126480941	274941.28955653607	167774458.13556904	908476.224081203	-1151185.4315961374	873708.4685617	4216.9428195017335	1599.565890624997	4704.824269637613	272239.0950827279	-1139872.6685323035	272239.2435453347	171788860.71570954	894614.8490583118	-1139871.9035021411	894614.0197967427	4152.601426384574	-0.009073252836003607	0.0	0.0	0.0	0.024448680402317305	0.0	0.0	0.0	-0.014572349607400618	171803411.93560314	0.024388525791877984
48	325.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9881138660057743	-8.094924470319897e-20	-3.1864701849348976e-18	7.462699078489288e-20	1.0325000000000082	-1.0007186052041206e-19	-4.401860820291148e-20	-1.9862583799934442e-19	0.9810086624747064	-9734.803823354297	282575.86705269536	-1219713.1093823018	295264.5367256365	176840247.71540773	980532.5694044882	-1210942.993261571	931635.2467468176	-8533.662637084357	1599.565890624997	-9610.905374875365	291511.19170657743	-1195530.4377690644	291506.59576914884	182432108.90897325	961092.016581373	-1195530.8739437067	961094.462339103	-8364.469767364957	-0.01195733888122558	0.0	0.0	0.0	0.0319830458530587	0.0	0.0	0.0	-0.019173989206314503	182461140.08772472	0.03197179204158798
52	402.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9852770328100577	-3.476900841889452e-20	2.515918246306925e-18	2.2185486954484635e-20	1.0402500000000108	3.914322208378729e-18	-1.3547106145206378e-19	-2.472794104896314e-19	0.9765458748880705	-8268.323181280557	297692.80325159465	-1269846.1303363708	314297.3271961136	184641252.49809322	1053592.7302189525	-1258593.709066904	989075.000515253	-7021.36929219851	1599.565890624997	-8139.3002443910245	309397.87496711774	-1238953.5261761807	309392.8788185776	191901216.7247313	1027961.1025885352	-1238954.0006116088	1027964.7341151534	-6850.554595028116	-0.014832425770045572	0.0	0.0	0.0	0.039461068880923544	0.0	0.0	0.0	-0.02373355087684369	191929716.11582145	0.03949844879066763
56	480.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9824580945316025	2.9746441854855423e-19	4.423680389012419e-19	-2.222614453595284e-21	1.048000000000001	1.921585720404684e-18	-1.9418060909215384e-19	3.6507120026660345e-19	0.9721433261405046	-7869.993639280919	309659.4562110529	-1311251.415431543	330312.4401558947	191391675.12258503	1121887.832211584	-1297485.4875639763	1040688.6385505415	-6698.748666660987	1599.565890624997	-7724.7209474326255	324220.1576129147	-1273534.317299039	324215.1827079447	200391229.23393348	1089617.6260839056	-1273535.1239357616	1089623.5449914953	-6506.06451940134	-0.017697588024569454	0.0	0.0	0.0	0.04688358589885152	0.0	0.0	0.0	-0.02825203051503745	200420157.1016006	0.04696922192127948
