6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
20	40.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9986188995634271	6.30700732525552e-21	5.337959281949238e-20	-4.516379674759929e-21	1.0039999999999945	1.3245901229162749e-20	-7.386127300057499e-22	-3.703228045395801e-21	0.998017225320099	6793.0242252073795	160153.83913152578	-776408.2539634327	161016.8337469561	132940053.609075	793613.052797072	-775940.4291783359	788883.9417907874	2284.3840773494594	1599.565890624997	6779.402411118351	160693.95347690856	-774384.4967540293	160693.95231715552	133388390.22354262	791544.4501915793	-774384.4629518051	791544.4308312868	2278.4296858009634	-0.0013820550348127934	0.0	0.0	0.0	0.003992021269532591	0.0	0.0	0.0	-0.0019847429798436635	133397940.69588265	0.0037995800872270133
24	66.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9976822832094693	3.4796113473206655e-21	-1.799301267875475e-19	-2.4292904927253333e-21	1.0065999999999886	-4.156695604037863e-19	6.4577791898667855e-21	-1.604280402099645e-20	0.9964051186677766	2567.362952767235	223833.34704862753	-935995.6830541651	225834.04160248258	139383158.2082904	849020.6590983315	-934797.5994846952	840421.738814291	2864.872039935149	1599.565890624997	2559.7313889277684	225162.76797038887	-932018.7717436994	225162.74309996405	140211001.28487638	845413.2921808157	-932018.8854155535	845413.2838964455	2852.6996098428667	-0.0023204068534310434	0.0	0.0	0.0	0.006578315360111256	0.0	0.0	0.0	-0.00360135844574822	140225775.98037586	0.006402323411758034
28	92.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9967264173692317	1.9814641735119848e-20	2.6002217414812513e-19	2.2717423645360335e-21	1.009199999999994	5.744848498821786e-19	-1.3078188705606398e-21	5.1130296828058583e-20	0.9948156180977248	9064.418564233858	236253.53484314287	-992961.5803694073	239209.82505243295	144340479.2672521	836563.1660398167	-991057.8819786132	824639.071083803	5977.191541826087	1599.565890624997	9028.593810173614	238264.72573246385	-987141.0998983136	238264.41050757607	145569228.1071594	831659.4520723945	-987140.9837650375	831659.0997485296	5942.154811977745	-0.0032789525247855973	0.0	0.0	0.0	0.009157937784760444	0.0	0.0	0.0	-0.0051978674397727504	145579495.73461503	0.008999353293646222
32	118.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9957638242816391	1.6483261153568685e-20	-4.940336605519651e-19	-8.168785743320473e-21	1.0117999999999854	2.278789678657189e-19	3.8827990302137124e-21	4.976826784887367e-20	0.9932408643283942	-5905.513474582537	239434.19520127264	-1026736.8101617584	243290.29480050484	148857847.7130499	829508.1695956249	-1024135.8520187001	814292.5277617814	-115.39605627247552	1599.565890624997	-5876.360225510083	242089.10862477333	-1019079.6116538331	242089.26417179545	150508425.22456443	823321.8629826002	-1019080.0871463593	823321.6313983516	-114.53545548251174	-0.004245173731152429	0.0	0.0	0.0	0.011730922875683995	0.0	0.0	0.0	-0.00678208208619049	150529109.29970878	0.011589295055842807
36	144.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9947997907471956	2.5578700941185362e-20	6.27346482054425e-19	-2.0006918214146575e-21	1.0143999999999875	4.0270656817900653e-19	1.9156497135103256e-20	1.6618786425129373e-20	0.9916764316216851	-2277.1017644645594	243548.36200125297	-1055943.4492642262	248344.36952506303	153099710.28424174	834319.9092013879	-1052626.8977207502	815628.9368394718	-11135.11671312817	1599.565890624997	-2263.618358196904	246876.37736053986	-1046395.189704927	246873.84761829235	155191771.93122464	826775.6576090355	-1046393.9764118651	826774.2617637537	-11034.428570525342	-0.005213777399516329	0.0	0.0	0.0	0.014297304700812355	0.0	0.0	0.0	-0.008358402705534423	155216198.45190108	0.014172368038020808
40	170.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9938357215350648	2.2680154195681146e-20	8.417474616634335e-19	6.366299631563321e-21	1.017000000000011	1.7032816129747276e-18	-1.9149720871525223e-20	-1.0950441942103595e-20	0.9901210083267923	-1872.8349206925552	249102.7203774063	-1083256.8154246463	254905.16815844752	157108359.198312	847965.9107373944	-1079206.6859630232	825553.2692680365	-8370.668806215133	1599.565890624997	-1859.902894105054	253148.63637999137	-1071755.8793906677	253145.03416292282	159660106.62064964	838963.0578962958	-1071754.7053308366	838961.8710611339	-8281.797427673046	-0.006183356069616371	0.0	0.0	0.0	0.01685711706643394	0.0	0.0	0.0	-0.009928112689932867	159683182.3641648	0.016748699037900876
44	247.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9909677849134216	-1.222776762656308e-19	-4.1654369840535275e-19	1.034870973637414e-19	1.0247500000000147	-1.1099519740820352e-18	-3.1929753979698104e-20	-3.049996236473285e-20	0.9855333132046623	4751.520841746435	265877.347753072	-1157534.1264795773	274941.2895552799	167774458.1355259	908476.2240845865	-1151185.4315947767	873708.4685649676	4216.942774264966	1599.565890624997	4704.824225322243	272239.0950814921	-1139872.6685309617	272239.2435440881	171788860.71566626	894614.8490616445	-1139871.903500782	894614.0198000934	4152.601381838024	-0.00907325283601201	0.0	0.0	0.0	0.024448680402324455	0.0	0.0	0.0	-0.014572349607397464	171803411.9356043	0.02438852579188358
48	325.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9881138660057766	8.542835492827971e-20	1.392183352107168e-18	-4.7379634937616544e-20	1.032500000000029	-6.783988518513362e-19	1.2208116462186779e-19	1.3784952996795385e-19	0.9810086624747073	-9734.803871501663	282575.86704993824	-1219713.109380263	295264.53672275774	176840247.71535975	980532.5694085083	-1210942.9932595678	931635.2467506377	-8533.6626861869	1599.565890624997	-9610.905422409744	291511.19170373224	-1195530.4377670393	291506.59576630057	182432108.90892318	961092.016585292	-1195530.8739417035	961094.462343041	-8364.46981549378	-0.011957338881223332	0.0	0.0	0.0	0.0319830458530787	0.0	0.0	0.0	-0.019173989206313826	182461140.08772248	0.03197179204160035
52	402.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9852770328100598	6.21451132741535e-20	2.6166677331851406e-18	-8.292791366798502e-20	1.040249999999991	-1.1006278353986599e-18	7.112366251504909e-20	1.0485590260650435e-19	0.9765458748880682	-8268.323177669505	297692.80324809777	-1269846.130334436	314297.32719242707	184641252.4981032	1053592.7302244834	-1258593.7090650287	989075.0005204176	-7021.3692884316815	1599.565890624997	-8139.3002408364955	309397.8749634835	-1238953.5261743139	309392.8788149553	191901216.72474176	1027961.102593949	-1238954.0006097895	1027964.7341205215	-6850.554591353042	-0.014832425770043432	0.0	0.0	0.0	0.039461068880905184	0.0	0.0	0.0	-0.023733550876846306	191929716.11582837	0.03949844879065601
56	480.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9824580945316058	2.568068370803478e-19	2.0828878986162147e-18	2.354751593366955e-20	1.0479999999999992	6.7009115270466605e-19	-9.676504389433127e-20	2.747368305078268e-19	0.9721433261405068	-7869.993583250862	309659.4562070882	-1311251.4154297279	330312.44015166676	191391675.1226441	1121887.8322185013	-1297485.4875622056	1040688.6385569731	-6698.748609095819	1599.565890624997	-7724.720892436829	324220.15760876174	-1273534.3172972742	324215.1827037946	200391229.23399422	1089617.626090622	-1273535.1239340228	1089623.5449982232	-6506.064463491978	-0.017697588024566065	0.0	0.0	0.0	0.0468835858988494	0.0	0.0	0.0	-0.028252030515035394	200420157.10160592	0.04696922192127638
60	557.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9796573908905555	4.494560106038659e-19	-5.063034410127121e-18	2.19618702564095e-20	1.0557499999999826	1.5413289134597053e-18	-7.903833837419327e-20	8.777971838985766e-20	0.9677998913396697	-7573.619047494836	317931.07415957545	-1346181.4103126787	342618.60729308537	197266372.4393414	1183447.4653676173	-1329888.928460714	1084865.8889344905	-6449.620370095003	1599.565890624997	-7412.365008913544	335330.602336929	-1301572.2466829878	335323.72834913066	208062240.11215618	1144230.9071643178	-1301573.5406343667	1144237.7343983632	-6235.895705473368	-0.02055236957432807	0.0	0.0	0.0	0.054251414831899464	0.0	0.0	0.0	-0.032729936898530175	208091525.34702548	0.054384750428531706
64	635.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9768750329925019	-7.643625316022806e-21	8.986680757189225e-19	5.326143172335041e-20	1.0635000000000032	-3.3144331463424994e-18	2.336997782792505e-19	-2.488515036397354e-19	0.9635145289600502	-7295.910151846792	324351.2794950854	-1374697.607546866	353104.43476108793	202400739.12763098	1239857.7234310848	-1355898.5597971522	1123297.8754502418	-6195.088438273087	1599.565890624997	-7120.06101001076	344602.4316001619	-1323215.7835353878	344593.7608987573	215037803.98100293	1193425.594091124	-1323218.1137397555	1193431.947899297	-5963.085086434968	-0.023396544032882154	0.0	0.0	0.0	0.06156535565815765	0.0	0.0	0.0	-0.037167711884843524	215067320.44941586	0.061745693668228185
68	712.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9741110815511032	-1.805196617188365e-20	-1.017347556024617e-18	-1.9971004017182993e-19	1.071249999999988	-7.021781159993745e-18	-4.2392304944183225e-20	1.4461901728241021e-19	0.959286164304978	-6950.562278338363	329876.84027157363	-1397872.0311095412	362763.75185136	206902491.39264792	1291060.5459237583	-1376600.146817918	1156125.3791150239	-5850.333456343132	1599.565890624997	-6763.646844932719	353016.627258077	-1339578.2781760972	353008.2614052887	221416027.9412011	1237221.022125246	-1339580.4349205582	1237223.812640663	-5606.3641333346195	-0.02622993507539372	0.0	0.0	0.0	0.06882619092984175	0.0	0.0	0.0	-0.04156584996110884	221445582.06715068	0.0690527335826668
72	790.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9713654697236772	-1.418407492154161e-19	-1.2310288964416383e-17	2.68475562961723e-19	1.078999999999992	-3.647689789110231e-18	-3.763265740697186e-19	2.2098750780685795e-19	0.9551137959711458	-6490.563866890686	334150.4376774896	-1416455.090422531	371168.045025404	210858997.6937958	1334407.460323333	-1392758.287714841	1181197.9663967318	-5373.744997076952	1599.565890624997	-6298.0465292919325	360167.2791797568	-1351446.0205297105	360158.7883112797	227276408.84685615	1273164.0164328646	-1351447.5290553034	1273165.6456496455	-5127.113694423395	-0.029052496620482093	0.0	0.0	0.0	0.07603468627599017	0.0	0.0	0.0	-0.04592478751519835	227305727.91907436	0.0763065505511612
76	867.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9686380831940195	9.161508357502512e-20	6.982804091892891e-19	1.7322840210887147e-19	1.0867499999999897	6.7166324585477e-19	-4.2056202270712717e-19	-1.6341637244787765e-19	0.950996439746493	-5877.263226288459	336938.3886899554	-1430315.313688644	378012.54251142574	214342491.3509342	1368933.58661497	-1404266.5718274475	1197930.2559342608	-4751.776247592828	1599.565890624997	-5686.782287504452	365771.6687733777	-1358753.261985295	365761.2307703354	232684708.48721585	1300442.607621567	-1358754.5699643607	1300442.3464207554	-4514.033664360579	-0.031864232013869426	0.0	0.0	0.0	0.0831915908867547	0.0	0.0	0.0	-0.050244960138293875	232713473.19938385	0.083507826245587
80	945.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9659288556983134	-2.3050138187041823e-19	-6.081980317323207e-18	-4.654208875937149e-19	1.094499999999999	-6.194101221518311e-18	1.8041124150158793e-19	-8.613986260397333e-20	0.9469330482751271	-5140.525791423055	340505.6550167117	-1440873.2989491762	385816.38151789265	217413274.59803182	1396661.661810942	-1412539.7243970234	1208354.7163085071	-3994.5888109778302	1599.565890624997	-4959.895229158596	372271.6077844699	-1362902.8113460275	372259.35782963666	237695874.05038384	1321083.6142008973	-1362905.1432293889	1321082.7673098042	-3778.4282106022315	-0.03466509582722284	0.0	0.0	0.0	0.09029763798077918	0.0	0.0	0.0	-0.05452688705443955	237723851.7125571	0.09065725275049219
84	1022.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9632377653947625	-2.13316777436523e-19	4.12254323560457e-18	-4.409992336584789e-20	1.1022499999999908	6.593250251318849e-18	-1.0636023312082798e-19	-2.6942423986264784e-19	0.9429225217096449	-4337.912636610256	345030.2647165039	-1449844.9394274463	394809.10257020703	220121769.05176815	1420606.3193950402	-1419268.914113424	1215259.8488423165	-3172.148563413644	1599.565890624997	-4173.733208186051	379881.09473303723	-1365551.0735749342	379866.53958505107	242355837.01813933	1338012.3845128685	-1365553.042306131	1338010.8615765793	-2987.720106137224	-0.03745499693752218	0.0	0.0	0.0	0.09735354525590206	0.0	0.0	0.0	-0.05877116121972426	242382931.13497427	0.09775552940328297
88	1100.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9605648537503534	2.2255960095696193e-19	-1.0119048611187398e-17	5.30229072454036e-19	1.1100000000000119	-4.514834686664138e-18	2.198762005800603e-19	-2.4822808739055623e-19	0.9389636996866004	-3449.954501014867	348640.01380671456	-1457160.4975220948	402863.02466734586	222510902.86711654	1442834.4381958912	-1424391.571026733	1220514.08919118	-2245.9113870985834	1599.565890624997	-3310.103595132325	386546.4910168501	-1366651.2988159214	386532.154526963	246703778.42504138	1353215.0798006766	-1366650.968511272	1353216.5549850927	-2106.4101857161463	-0.04023377823009766	0.0	0.0	0.0	0.10436001532425365	0.0	0.0	0.0	-0.06297845900185618	246729883.87117147	0.10480336151059033
92	1177.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9579099820818519	6.282951589553498e-20	2.909212584376042e-18	-3.7188134516252805e-20	1.117749999999996	5.8197804214676904e-18	4.592680402648597e-19	-2.457344223938396e-19	0.9350556058907471	-2505.423634673533	351489.74653778714	-1462594.4619468376	410131.8450364197	224617389.8073589	1464503.4573218736	-1427696.5288740455	1225136.223011772	-1242.626088493128	1599.565890624997	-2397.171209953328	392419.44873460004	-1366012.102776796	392411.1825242092	250773267.6490253	1367795.0377285483	-1366009.7111733016	1367798.8788995424	-1160.5693309192245	-0.04300146985016379	0.0	0.0	0.0	0.11131773613194901	0.0	0.0	0.0	-0.06714927992090627	250798318.35599115	0.11180142106528035
96	1255.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9552728639385124	6.69494841509799e-20	-3.2530673033798195e-18	-3.2081542283846077e-19	1.1255000000000182	-6.907452040905149e-19	6.114900252818244e-20	-3.863554441652095e-19	0.9311974171355142	-1497.2165219071867	354263.8471798289	-1466269.089684728	417388.5283541689	226472575.80010453	1485751.8651393636	-1429310.5318304198	1229262.985135638	-165.57537413772488	1599.565890624997	-1428.5562609250578	398251.69310483476	-1363768.763521048	398247.6727274646	254592974.90331116	1381889.5851210174	-1363764.3448200293	1381896.7670524567	-154.00073891340978	-0.04575825791040934	0.0	0.0	0.0	0.1182273813646662	0.0	0.0	0.0	-0.07128397570348968	254616908.41768554	0.11875035121830753
100	1332.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9526531812454835	-7.892449714608229e-19	-4.4433857634973425e-18	2.349466107776088e-19	1.133250000000009	1.0893846588699851e-17	-4.85722573273506e-20	-1.293127931123461e-18	0.9273883535457853	-448.11680704923253	356279.49147439137	-1468388.4151029675	423815.15077247	228103815.9237324	1508440.4209947374	-1429440.2656545984	1234434.696945114	958.4632733691573	1599.565890624997	-426.38691400293317	403268.55969583313	-1360129.9368795229	403263.6834924832	258188022.35294774	1397229.0665683462	-1360124.4453146425	1397242.0927613226	887.799561819286	-0.048504364706231956	0.0	0.0	0.0	0.1250896108388293	0.0	0.0	0.0	-0.07538286528156402	258210825.2321605	0.12565078221497614
104	1410.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9500508173572164	-5.809155240177332e-19	-8.037814120884224e-18	1.77863366396247e-19	1.1410000000000022	6.743412252208092e-18	1.3379054808471125e-19	1.8187491443444337e-19	0.9236274509085988	574.4387653424379	357838.6517367992	-1469330.4271003066	429755.7356598905	229534235.58642635	1536605.8406786162	-1428458.4306968518	1243882.191164155	2096.266688390892	1599.565890624997	545.0812757101022	407796.5815735492	-1355460.892059016	407792.4728801649	261579558.7534527	1417522.6246826674	-1355455.0818639735	1417540.846901179	1933.811117658114	-0.05123980386322949	0.0	0.0	0.0	0.13190507087994055	0.0	0.0	0.0	-0.07944648030142451	261601330.29079512	0.13250336677244565
108	1487.5	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9474659839350182	-4.653395724307785e-19	7.453185204425727e-18	-6.186457596202289e-19	1.1487499999999988	8.184154309115455e-18	-3.729655473350135e-20	4.5753331678888286e-20	0.9199135069082985	10563.360067599478	359289.5234808267	-1468842.9693360238	435636.8165572683	230786337.9487688	1570022.85829515	-1426127.227579198	1257240.0785739082	6135.614027125135	1599.565890624997	9996.076327897526	412224.6248291393	-1349541.4175258772	412241.8285168183	264788715.9495733	1442503.3294671753	-1349539.9691903302	1442472.6740966158	5637.270575833661	-0.053964243530146006	0.0	0.0	0.0	0.13867439468775875	0.0	0.0	0.0	-0.08347562758877608	264803966.2459296	0.1393087690635204
112	1565.0	nan	nan	1	1	6.000000000000838e-05	6.000000000000867e-05	5.999999999999513e-05	0.9448987353228757	2.2768245622195592e-20	7.308769475050659e-18	-4.499439015814844e-19	1.1565000000000125	4.633229563899555e-18	-2.925177461365891e-19	-7.116160959108609e-19	0.9162452525112438	7319.753817563033	359835.69737451774	-1465513.6541507943	440430.37724994647	231870294.57293448	1606142.213334285	-1421077.5237234128	1272443.8801524802	2681.3884811175067	1599.565890624997	6907.789586781486	415630.33770872816	-1341093.2118780657	415642.44501905027	267823146.90047696	1469782.5663463841	-1341097.6332061994	1469743.7844048436	2453.74164904554	-0.05667751561875591	0.0	0.0	0.0	0.14539820268936746	0.0	0.0	0.0	-0.08747120722854007	267841604.8725612	0.14606772359895784
