6	header
postResults v2.0.3	--cr f,p,texture --time RVE_1_40_D_tensionX.spectralOut
addCauchy v2.0.3	RVE_1_40_D_tensionX.txt
addStrainTensors v2.0.3	--left --logarithmic RVE_1_40_D_tensionX.txt
addMises v2.0.3	-s Cauchy RVE_1_40_D_tensionX.txt
addMises v2.0.3	-e ln(V) RVE_1_40_D_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	texture	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
20	40.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9986097100015785	-4.789124283775814e-21	-6.099653659767668e-20	-2.0938654456126304e-21	1.0039999999999727	1.052014920489841e-21	-5.828433710056841e-21	-1.7558992996581646e-20	0.9980129672436316	8310.293777593055	157867.12058954107	-732307.4178454229	158719.254847864	130038808.20649217	751285.477781315	-731869.7154031323	746805.3870343523	2082.9343393988593	1599.565890624997	8293.6648211134	158401.65651571177	-730405.3336419518	158401.65649911913	130479117.844897	749334.1002522036	-730405.2389391316	749334.059931767	2077.5241572713935	-0.0013912573482631845	0.0	0.0	0.0	0.003992021269510475	0.0	0.0	0.0	-0.001989009524992311	130486808.83313894	0.0038037912580346617
24	66.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9976480703089649	6.827085554869661e-21	2.8484701576625416e-19	2.6139436752267707e-21	1.0065999999999915	4.320105200222163e-19	-2.541098841762901e-21	2.961227183601034e-21	0.9964261264877229	4270.699688124034	210611.4239838674	-875763.4720299079	212501.2187442205	136519696.1859518	781016.4101086664	-874690.8162689622	773122.5455776434	4421.597257060688	1599.565890624997	4257.915132210728	211865.1141237594	-872072.384176784	211865.08557844537	137332346.29662427	777724.6535139771	-872072.384989764	777724.6516457035	4402.96151299487	-0.0023546998219587368	0.0	0.0	0.0	0.006578315360114565	0.0	0.0	0.0	-0.0035802750549714843	137343418.8364804	0.006403085265304263
28	92.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9966673595511543	2.0382577326253857e-20	2.0764843295349722e-19	1.2470019049477809e-20	1.009199999999994	2.593309952631656e-19	-1.578869413682016e-20	-5.529431079676072e-21	0.9948603700985802	8268.054625231716	219589.83661261055	-930162.6093915512	222350.79601533228	141246485.6121167	761551.1335888499	-928476.2011165862	750730.0059265856	6015.413124750794	1599.565890624997	8235.006838666395	221462.33203593837	-924765.0340028203	221462.04987341404	142450928.41306663	757131.9819110502	-924765.0399406741	757131.6614946998	5980.506705693117	-0.003338206063929265	0.0	0.0	0.0	0.009157937784759785	0.0	0.0	0.0	-0.005152883230154925	142459378.4220184	0.008996866892000353
32	118.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9956809309611563	-3.5294380604429e-20	7.99897257805493e-19	2.583450489125616e-21	1.011800000000002	1.7892046351442037e-19	-2.122325752640375e-20	-1.82586422110137e-20	0.9933079356387716	-6108.855786891819	221996.38516013746	-966172.3155795552	225590.3039631469	145449528.33871007	751602.1078075925	-963869.8225327817	737865.5038152038	-1609.408432930316	1599.565890624997	-6078.288261951667	224461.4726592866	-959046.6317644399	224461.49400540543	147064625.8719706	746058.9154715561	-959046.8056099479	746058.8941183664	-1597.538774239503	-0.004328423161308581	0.0	0.0	0.0	0.011730922875700675	0.0	0.0	0.0	-0.006714556626554929	147084034.91762143	0.011583819578460917
36	144.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9946940189735234	-3.4927827096504703e-20	5.788690924171669e-19	-5.1228552649940085e-21	1.0144000000000133	-5.336849668788335e-19	1.0286368111456223e-20	5.3007321839174114e-20	0.9917649291177351	2846.2544424931334	224245.60843467357	-998056.6270136673	228685.5560229219	149383697.2676901	753099.4957678521	-995117.1589120956	736294.1845929212	-4854.670396505305	1599.565890624997	2829.1484375381638	227313.74312639516	-989136.9727410766	227311.15456532367	151427569.1952786	746369.0288250985	-989136.4992785124	746368.1822369843	-4811.284099202941	-0.0053201077366654735	0.0	0.0	0.0	0.014297304700837746	0.0	0.0	0.0	-0.008269166393475086	151444281.1489495	0.01416400316416283
40	170.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9937075921203673	8.468995395651078e-20	9.215718466126788e-22	2.2624250021162363e-20	1.0169999999999957	-2.1056425917112542e-18	1.5795470400398192e-20	1.7496312558484827e-20	0.9902304285856559	1760.841547576918	226803.30893543747	-1028173.2994335465	232116.8562340705	153111508.2356713	762548.0953454231	-1024574.6322404835	742475.6743236699	-3846.064754677841	1599.565890624997	1748.4896122033997	230491.28594690945	-1017388.3509259152	230488.60500882377	155601206.13829625	754549.4029582316	-1017387.4553703127	754548.8368861364	-3805.7217401694224	-0.006312288520038673	0.0	0.0	0.0	0.016857117066418875	0.0	0.0	0.0	-0.009817606789883563	155618212.71333385	0.016737512786238046
44	247.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9907768397086427	1.3224894812070842e-19	7.268694652250162e-19	7.20238467797436e-20	1.0247500000000138	9.370894902063775e-19	1.1015494072452725e-19	-9.446111427779957e-21	0.9857021220912286	-6877.575400880453	233927.35090797258	-1110334.2883447697	241944.42299792034	163153988.32281107	810388.1438817764	-1104646.8896862443	779509.7565670871	-5952.673142468525	1599.565890624997	-6808.818254576191	239529.7521827242	-1093603.7191323317	239525.6333635037	167061415.6014627	798177.1772634571	-1093603.4094796903	798178.4861402733	-5862.977983943288	-0.00926595698466711	0.0	0.0	0.0	0.024448680402323154	0.0	0.0	0.0	-0.014401077435686088	167084723.66486558	0.024369151356466483
48	325.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9878646085233529	-2.962582436316641e-20	2.710505431213761e-22	-1.147153661125444e-19	1.032500000000017	2.4807087807554586e-18	-1.190453985389084e-19	-1.191063849111107e-19	0.9812342260588642	-5783.797805094942	241843.45630325231	-1182622.2252688732	252767.20607442482	172007236.9299433	870364.0738014885	-1174684.2270024735	827149.9478032236	-5024.10228788866	1599.565890624997	-5708.872628799009	249496.36700012424	-1159467.4193862278	249492.7784206307	177450245.57513046	853323.0350441457	-1159466.9898572399	853324.3367249685	-4925.734346947783	-0.012209626532084652	0.0	0.0	0.0	0.031983045853067514	0.0	0.0	0.0	-0.018944085368752462	177473606.81573793	0.03194411064777785
52	402.5	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9849731137687525	-1.9843610261915944e-19	-2.9495449051925027e-18	-3.905880678026392e-20	1.0402499999999903	1.895808813753841e-18	-6.830473686658678e-20	-1.1917414754689104e-19	0.9768257125002983	18597.072075378856	249592.08557827084	-1246049.3697613955	263604.16512398614	179873412.94038114	932972.7784707525	-1235740.4365978327	876085.8015928497	14788.488201956377	1599.565890624997	18301.62982722348	259411.57543131852	-1216110.8113532087	259416.41950189654	186950020.1537426	910556.4435330416	-1216108.8552798077	910552.9026598118	14433.168397984378	-0.015140933848822747	0.0	0.0	0.0	0.03946106888090433	0.0	0.0	0.0	-0.02344703333358812	186952712.0132167	0.03946249785127076
56	480.0	nan	nan	1	1	0.001500000000000045	0.001500000000000028	0.0014999999999998368	0.9821021769923625	6.926357816287865e-20	2.710695166593946e-18	1.2740709603596603e-19	1.0479999999999658	-2.160950455035171e-18	2.255140518769849e-20	-2.613198286233187e-19	0.9724751740212835	17017.1113605233	256497.2021362303	-1301969.274366592	273714.7175547742	186854561.3585934	994624.4019020076	-1289204.559627496	922942.5638330391	13510.49683520189	1599.565890624997	16697.291729047058	268563.7765153274	-1264977.436121653	268570.5225005497	195644889.06559706	966364.9139755141	-1264975.2460605619	966361.1859520086	13126.633618629678	-0.01805992615009607	0.0	0.0	0.0	0.046883585898818046	0.0	0.0	0.0	-0.027910731814060605	195649958.864952	0.046925207846841364
